_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
7929,49,TEBAN GDNS RD,4,1986,Y,Y,N,N,N,N,JE,15,0,0,10,5,0,0,0,0,0,0,0,0
7930,49,TELOK BLANGAH DR,25,1976,Y,N,N,N,N,N,BM,96,0,0,0,0,96,0,0,0,0,0,0,0
7931,49,WHAMPOA STH,16,1974,Y,N,N,Y,N,N,KWN,120,0,0,0,120,0,0,0,0,0,0,0,0
7932,49A,JLN TIGA,6,2003,N,N,N,N,Y,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0
7933,49A,WHAMPOA STH,5,2000,N,N,N,N,Y,N,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0
7934,490,ADMIRALTY LINK,18,2009,Y,N,N,Y,N,N,SB,119,0,0,0,119,0,0,0,0,0,0,0,0
7935,490,CHOA CHU KANG AVE 5,1,2015,N,N,N,N,N,Y,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
7936,490,JURONG WEST AVE 1,12,1983,Y,N,N,Y,N,N,JW,110,0,0,66,44,0,0,0,0,0,0,0,0
7937,490,LOR 6 TOA PAYOH,9,2002,N,Y,N,N,N,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0
7938,490A,CHOA CHU KANG AVE 5,13,2015,Y,N,N,N,N,N,CCK,96,0,0,24,72,0,0,0,0,0,0,0,0
7939,490A,TAMPINES ST 45,12,1993,Y,N,N,N,N,N,TAP,77,0,0,0,55,22,0,0,0,0,0,0,0
7940,490B,CHOA CHU KANG AVE 5,13,2015,Y,N,N,N,N,N,CCK,96,0,0,72,24,0,0,0,0,0,0,0,0
7941,490B,TAMPINES ST 45,12,1993,Y,N,N,N,N,N,TAP,66,0,0,0,0,66,0,0,0,0,0,0,0
7942,490C,CHOA CHU KANG AVE 5,12,2015,Y,N,N,Y,N,N,CCK,88,0,0,22,66,0,0,0,0,0,0,0,0
7943,490D,CHOA CHU KANG AVE 5,13,2015,Y,N,N,Y,N,N,CCK,96,0,0,0,24,72,0,0,0,0,0,0,0
7944,491,ADMIRALTY LINK,21,2002,Y,N,N,Y,N,N,SB,180,0,0,0,108,72,0,0,0,0,0,0,0
7945,491,JURONG WEST AVE 1,10,1984,Y,Y,N,N,N,N,JW,131,0,0,96,33,1,0,0,0,0,0,1,0
7946,491A,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,48,0,0,0,0,48,0,0,0,0,0,0,0
7947,491B,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,62,0,0,0,26,36,0,0,0,0,0,0,0
7948,491C,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,84,0,0,0,24,60,0,0,0,0,0,0,0
7949,491D,TAMPINES ST 45,13,1992,Y,Y,N,Y,N,N,TAP,84,0,0,0,12,72,0,0,0,0,0,0,0
7950,491E,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,60,0,0,0,12,48,0,0,0,0,0,0,0
7951,491F,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,72,0,0,0,24,48,0,0,0,0,0,0,0
7952,491G,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
7953,491H,TAMPINES ST 45,13,1992,Y,N,N,Y,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
7954,492,ADMIRALTY LINK,21,2002,Y,N,N,Y,N,N,SB,116,0,0,0,56,60,0,0,0,0,0,0,0
7955,492,JURONG WEST ST 41,4,1985,Y,Y,N,N,N,N,JW,101,0,0,97,4,0,0,0,0,0,0,0,0
7956,492,TAMPINES ST 45,8,2017,N,N,N,Y,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7957,492A,ADMIRALTY LINK,5,2002,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
7958,492A,TAMPINES ST 45,5,1992,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7959,492B,TAMPINES AVE 9,13,1992,Y,Y,N,N,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
7960,492C,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
