Month,Value,cpi_lag1,cpi_lag3,cpi_lag6,cpi_lag12,cpi_sma3,cpi_sma6,cpi_sma12,cpi_ema3,cpi_ema6,cpi_ema12
1987-06-01,58.325,58.29,58.134,57.929,57.962,58.24966666666666,58.15233333333333,58.0495,58.24912680758538,58.173911996226096,58.15941163619951
1987-07-01,58.564,58.325,58.29,58.134,57.87,58.393,58.196333333333335,58.10733333333334,58.40656340379269,58.285365711590075,58.22165599986112
1987-08-01,58.637,58.564,58.325,58.29,57.846,58.50866666666667,58.31316666666667,58.17325,58.521781701896344,58.38583265113577,58.285555076805565
1987-09-01,58.603,58.637,58.564,58.325,58.082,58.601333333333336,58.4255,58.21666666666667,58.56239085094818,58.447880465096986,58.33439275729702
1987-10-01,58.586,58.603,58.637,58.564,58.066,58.60866666666667,58.50083333333333,58.26,58.57419542547409,58.48734318935499,58.37310156386671
1987-11-01,58.688,58.586,58.603,58.637,57.886,58.62566666666667,58.56716666666667,58.32683333333333,58.631097712737045,58.54467370668213,58.42154747711799
1987-12-01,58.814,58.688,58.586,58.603,57.93,58.696,58.648666666666664,58.400499999999994,58.72254885636852,58.62162407620153,58.48192478833061
1988-01-01,58.729,58.814,58.688,58.586,58.3,58.74366666666666,58.67616666666667,58.43625,58.72577442818426,58.65230291157252,58.51993635935667
1988-02-01,59.181,58.729,58.814,58.688,57.936,58.907999999999994,58.76683333333333,58.54,58.95338721409213,58.803359222551805,58.62163845791718
1988-03-01,59.028,59.181,58.729,58.814,57.929,58.97933333333333,58.83766666666667,58.63158333333333,58.99069360704607,58.867542301822716,58.68415561823761
1988-04-01,59.046,59.028,59.181,58.729,58.134,59.085,58.91433333333333,58.70758333333333,59.01834680352303,58.91853021558766,58.73982398466259
1988-05-01,59.234,59.046,59.028,59.181,58.29,59.102666666666664,59.00533333333333,58.78625,59.12617340176152,59.00866443970547,58.815851063945274
1988-06-01,59.169,59.234,59.046,59.028,58.325,59.14966666666667,59.06449999999999,58.85658333333333,59.14758670088076,59.054474599789614,58.870181669492155
1988-07-01,59.512,59.169,59.234,59.046,58.564,59.30500000000001,59.19499999999999,58.935583333333334,59.32979335044038,59.18519614270687,58.96892295110875
1988-08-01,59.49,59.512,59.169,59.234,58.637,59.39033333333333,59.2465,59.00666666666666,59.409896675220196,59.272282959076335,59.049088650938174
1988-09-01,59.544,59.49,59.512,59.169,58.603,59.51533333333333,59.3325,59.08508333333333,59.4769483376101,59.34991639934024,59.125228858486146
1988-10-01,59.413,59.544,59.49,59.512,58.586,59.48233333333334,59.39366666666666,59.153999999999996,59.44497416880505,59.36794028524303,59.169501341795964
1988-11-01,59.494,59.413,59.544,59.49,58.688,59.483666666666664,59.437000000000005,59.22116666666667,59.46948708440252,59.40395734660216,59.2194242122889
1988-12-01,59.641,59.494,59.413,59.544,58.814,59.516,59.515666666666654,59.290083333333335,59.55524354220126,59.47168381900154,59.284282025782915
1989-01-01,59.616,59.641,59.494,59.413,58.729,59.58366666666666,59.53300000000001,59.364,59.585621771100634,59.512917013572526,59.33531556027785
1989-02-01,59.773,59.616,59.641,59.494,59.181,59.67666666666667,59.58016666666666,59.41333333333333,59.67931088555032,59.587226438266086,59.40265162792741
