_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
2915,207C,WOODLEIGH LINK,14,2022,Y,N,N,N,N,N,TP,62,0,16,13,33,0,0,0,0,0,0,0,0
2916,207D,COMPASSVALE LANE,16,2003,Y,N,N,N,N,N,SK,157,0,0,0,157,0,0,0,0,0,0,0,0
2917,207D,PUNGGOL PL,16,2012,Y,N,N,N,N,N,PG,81,0,0,0,39,42,0,0,0,0,0,0,0
2918,207D,WOODLEIGH LINK,14,2022,Y,N,N,N,N,N,TP,87,0,62,25,0,0,0,0,0,0,0,0,0
2919,208,ANG MO KIO AVE 1,12,1975,Y,N,N,Y,N,N,AMK,152,0,0,128,22,1,1,0,0,0,0,0,0
2920,208,BISHAN ST 23,4,1990,Y,N,N,N,N,N,BH,16,0,0,0,0,0,16,0,0,0,0,0,0
2921,208,BOON LAY PL,22,1976,Y,N,N,N,N,N,JW,431,0,0,422,0,9,0,0,0,0,0,0,0
2922,208,BT BATOK ST 21,13,1982,Y,N,N,N,N,N,BB,119,0,0,70,48,0,1,0,0,0,0,0,0
2923,208,CHOA CHU KANG CTRL,13,1989,Y,Y,N,Y,N,N,CCK,72,0,0,0,0,0,72,0,0,0,0,0,0
2924,208,CLEMENTI AVE 6,6,2016,N,N,N,N,Y,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0
2925,208,COMPASSVALE LANE,5,2003,N,N,N,Y,Y,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
2926,208,HOUGANG ST 21,4,1983,N,Y,N,N,N,N,HG,0,0,0,0,0,0,0,0,0,0,0,0,0
2927,208,JURONG EAST ST 21,8,1982,Y,Y,N,Y,N,N,JE,111,0,0,68,42,1,0,0,0,0,0,0,0
2928,208,NEW UPP CHANGI RD,4,1979,Y,Y,N,N,N,N,BD,42,0,0,42,0,0,0,0,0,0,0,0,0
2929,208,PASIR RIS ST 21,12,1993,Y,N,N,N,N,N,PRC,66,0,0,0,0,0,66,0,0,0,0,0,0
2930,208,PETIR RD,12,1987,Y,Y,N,N,N,N,BP,110,0,0,0,110,0,0,0,0,0,0,0,0
